1024 3,862,120 2,050,500 2,756,329 2,050,499
2048 15,412,652 8,193,483 10,989,228 8,193,483
3072 34,662,623 18,431,387 24,709,716 18,431,387
4096 61,611,936 32,764,184 43,917,734 32,764,185
5120 96,260,715 51,191,929 68,613,372 51,191,930
6144 138,608,839 73,714,567 98,796,504 73,714,568
7168 188,656,354 100,332,096 134,467,160 100,332,095
8192 246,403,261 131,044,562 175,625,388 131,044,558
9216 311,849,613 165,851,924 222,271,228 165,851,920
10240 384,995,247 204,754,194 274,404,510 204,754,190
11264 465,840,302 247,751,369 332,025,373 247,751,365
12288 554,384,769 294,843,456 395,133,808 294,843,452
