1024 2576003 1314729 1513127 1314729
2048 10283061 5254783 6031477 5254783
3072 23126577 11821218 13560472 11821221
4096 41107049 21014267 24100592 21014270
5120 64224107 32833754 37651467 32833754
6144 92477885 47279779 54213245 47279779
7168 125868409 64352285 73785945 64352285
8192 164395584 84051264 96369459 84051261
9216 208059437 106376748 121963840 106376745
10240 256860041 131328752 150569148 131328749
11264 310797348 158907231 182185335 158907228
12288 369871342 189112225 216812385 189112222
