1024 0.013301 0.001657
2048 0.050960 0.005830
3072 0.140997 0.013202
4096 0.717702 0.024650
5120 0.386440 0.049397
6144 0.744003 0.052313
7168 0.784221 0.103461
8192 3.080279 0.094896
9216 1.793852 0.127287
10240 2.691381 0.181058
11264 2.820008 0.219401
1024 0.015136 0.001493
2048 0.071763 0.007054
3072 0.122319 0.013192
4096 0.950305 0.024343
5120 0.333972 0.037243
6144 0.976300 0.054023
7168 0.785299 0.084887
8192 3.738798 0.093900
9216 1.320225 0.121495
10240 2.493072 0.174291
11264 2.554299 0.174755
1024 0.012382 0.001533
2048 0.050274 0.007285
3072 0.130214 0.021255
4096 0.760915 0.024100
5120 0.462432 0.043186
6144 0.848364 0.052778
7168 0.679970 0.101613
8192 3.164703 0.090730
9216 1.129792 0.114677
10240 2.420090 0.140930
11264 2.121395 0.171745
1024 0.012840 0.001600
2048 0.050336 0.005887
3072 0.118793 0.013013
4096 0.930154 0.022945
5120 0.317256 0.035721
6144 0.860937 0.050956
7168 0.644153 0.068954
8192 3.222458 0.093331
9216 1.311423 0.115021
10240 2.935855 0.145024
11264 2.405151 0.176497
1024 0.017926 0.001652
2048 0.050030 0.005982
3072 0.120839 0.012855
4096 0.699203 0.024523
5120 0.320899 0.035644
6144 0.834706 0.050951
7168 0.670838 0.073358
8192 2.787815 0.091463
9216 1.255420 0.114303
10240 2.476212 0.142102
11264 2.252840 0.171994
1024 0.012490 0.001578
2048 0.050159 0.006041
3072 0.115807 0.013289
4096 0.549614 0.023893
5120 0.325257 0.035412
6144 0.864610 0.050721
7168 0.673482 0.069917
8192 3.196017 0.090894
9216 1.213134 0.115091
10240 2.456549 0.145230
11264 2.198676 0.133640
1024 0.009587 0.001592
2048 0.050418 0.005928
3072 0.115693 0.012975
4096 0.349640 0.024558
5120 0.442020 0.042589
6144 0.883492 0.053567
7168 1.043035 0.104287
8192 2.854614 0.093825
9216 1.127439 0.100992
10240 2.423238 0.145865
11264 2.618223 0.174266
1024 0.012451 0.001418
2048 0.050534 0.006015
3072 0.115816 0.013004
4096 0.239123 0.023664
5120 0.335711 0.036425
6144 0.868554 0.051345
7168 0.666597 0.069514
8192 2.897542 0.090845
9216 1.199666 0.115011
10240 2.472156 0.143197
11264 2.165616 0.171640
1024 0.012471 0.001689
2048 0.050499 0.005825
3072 0.115656 0.012910
4096 0.270825 0.023337
5120 0.331125 0.035802
6144 0.841483 0.051025
7168 0.670633 0.069601
8192 2.964852 0.090900
9216 1.176301 0.114594
10240 2.425567 0.141310
11264 2.132421 0.132019
1024 0.009466 0.001371
2048 0.047724 0.006106
3072 0.115622 0.013327
4096 0.260808 0.023104
5120 0.340725 0.036585
6144 0.876211 0.050974
7168 0.695960 0.069507
8192 3.324662 0.090494
9216 1.190400 0.164555
10240 2.708467 0.144420
11264 2.569784 0.184788
