1024 0.008573 0.001103
2048 0.032472 0.003788
3072 0.076617 0.008894
4096 0.170959 0.015346
5120 0.255278 0.022969
6144 0.359121 0.032696
7168 0.441528 0.044565
8192 0.950513 0.057659
9216 0.796800 0.072909
10240 1.612658 0.089690
11264 1.212363 0.109165
12288 5.699530 0.129087
13312 1.620544 0.151443
1024 0.008109 0.001143
2048 0.034206 0.003894
3072 0.072071 0.008368
4096 0.208695 0.014764
5120 0.205978 0.023141
6144 0.367350 0.032774
7168 0.438948 0.044424
8192 0.906481 0.057777
9216 0.800022 0.073092
10240 1.459344 0.089750
11264 1.219047 0.109139
12288 5.765097 0.128834
13312 1.618152 0.151393
1024 0.008031 0.001128
2048 0.037871 0.003825
3072 0.072744 0.008332
4096 0.190705 0.014682
5120 0.212611 0.022737
6144 0.397270 0.032739
7168 0.441341 0.044483
8192 0.897736 0.058296
9216 0.765434 0.073349
10240 1.577660 0.089845
11264 1.210259 0.110606
12288 5.626243 0.130866
13312 1.628139 0.158596
1024 0.008285 0.001114
2048 0.032531 0.003797
3072 0.072379 0.008322
4096 0.217089 0.015611
5120 0.232941 0.024461
6144 0.389643 0.032729
7168 0.439436 0.044187
8192 0.837344 0.058529
9216 0.788472 0.073403
10240 1.549971 0.090095
11264 1.320379 0.108604
12288 4.683510 0.152794
13312 1.829020 0.159391
1024 0.008001 0.001143
2048 0.037799 0.003850
3072 0.075405 0.008361
4096 0.189286 0.014631
5120 0.218223 0.022916
6144 0.418769 0.038176
7168 0.460468 0.050351
8192 0.856580 0.059754
9216 0.797045 0.073597
10240 1.520360 0.092179
11264 1.206632 0.108694
12288 5.527305 0.128845
13312 1.636934 0.152454
1024 0.008166 0.001137
2048 0.032214 0.003863
3072 0.071813 0.008384
4096 0.170045 0.014632
5120 0.201239 0.023676
6144 0.361167 0.032666
7168 0.436860 0.044691
8192 0.811403 0.058719
9216 0.787266 0.073686
10240 1.557303 0.090231
11264 1.230771 0.109761
12288 4.740831 0.147652
13312 1.714082 0.152135
1024 0.009499 0.000961
2048 0.036916 0.003766
3072 0.072817 0.008418
4096 0.183411 0.014669
5120 0.236311 0.022752
6144 0.368109 0.033054
7168 0.455070 0.045165
8192 0.858581 0.057839
9216 0.822192 0.075228
10240 1.407858 0.093112
11264 1.316730 0.113839
12288 4.059391 0.129363
13312 1.642613 0.151997
1024 0.007922 0.001042
2048 0.032312 0.003889
3072 0.072417 0.008385
4096 0.171040 0.014669
5120 0.210262 0.022879
6144 0.380800 0.032596
7168 0.438795 0.049488
8192 0.943685 0.058160
9216 0.775095 0.097254
10240 1.618324 0.090158
11264 1.234735 0.108448
12288 5.238016 0.129709
13312 1.601522 0.151840
1024 0.008021 0.001039
2048 0.032646 0.003863
3072 0.073044 0.008358
4096 0.171917 0.014595
5120 0.208620 0.022499
6144 0.385207 0.032757
7168 0.435998 0.044346
8192 0.812902 0.058699
9216 0.800734 0.073292
10240 1.487733 0.090538
11264 1.203127 0.109834
12288 5.662834 0.129222
13312 1.621213 0.151102
1024 0.007959 0.001121
2048 0.035568 0.003856
3072 0.072649 0.008316
4096 0.165515 0.014579
5120 0.207742 0.023146
6144 0.372639 0.032868
7168 0.437999 0.044392
8192 0.789886 0.057919
9216 0.766620 0.073021
10240 1.542415 0.090537
11264 1.207687 0.108639
12288 5.636731 0.128997
13312 1.638188 0.151638
1024 0.008009 0.001131
2048 0.035848 0.003858
3072 0.072372 0.008347
4096 0.162841 0.014717
5120 0.216064 0.023673
6144 0.375646 0.032604
7168 0.448849 0.044236
8192 0.794975 0.057834
9216 0.798863 0.072819
10240 1.546255 0.090902
11264 1.200871 0.108524
12288 5.659717 0.129403
13312 1.585059 0.151725
1024 0.007958 0.001121
2048 0.032663 0.003831
3072 0.072552 0.008414
4096 0.155421 0.014733
5120 0.209317 0.023266
6144 0.367658 0.032691
7168 0.437926 0.044269
8192 0.801819 0.057742
9216 0.784825 0.073196
10240 1.559741 0.090051
11264 1.215620 0.109114
12288 5.613298 0.129500
13312 1.604737 0.152309
1024 0.007919 0.001126
2048 0.032850 0.003869
3072 0.071755 0.008412
4096 0.135602 0.014644
5120 0.216600 0.022717
6144 0.397300 0.032719
7168 0.434604 0.044486
8192 0.767172 0.058208
9216 0.775891 0.073252
10240 1.449139 0.090244
11264 1.213555 0.109145
12288 4.983762 0.128975
13312 1.625429 0.152045
1024 0.007899 0.001127
2048 0.036573 0.003779
3072 0.073574 0.008298
4096 0.132841 0.014727
5120 0.210082 0.022820
6144 0.384687 0.032717
7168 0.433273 0.044432
8192 0.753544 0.058093
9216 0.808204 0.072896
10240 1.501108 0.090157
11264 1.249591 0.108396
12288 5.392282 0.129031
13312 1.624551 0.151093
